Time (abs), P1 (atm), SetP1 (atm), Rate (Hz) 
19:06.5,199.76,200,37.81
19:06.5,199.78,200,37.81
19:06.5,199.76,200,35.93
19:06.6,199.76,200,33.55
19:06.6,199.76,200,35.66
19:06.6,199.77,200,35.57
19:06.6,199.77,200,35.57
19:06.6,199.77,200,35.02
19:06.7,199.77,200,34.79
19:06.7,199.77,200,35.02
19:06.7,199.78,200,34.19
19:06.7,199.77,200,34.19
19:06.8,199.78,200,33.23
19:06.8,199.78,200,34.56
19:06.8,199.78,200,33.55
19:06.8,199.78,200,33.42
19:06.8,199.79,200,33.42
19:06.9,199.79,200,33.33
19:06.9,199.78,200,32.09
19:06.9,199.78,200,30.81
19:06.9,199.78,200,32.59
19:06.9,199.78,200,32.59
19:07.0,199.78,200,33.6
19:07.0,199.78,200,33.1
19:07.0,199.76,200,32.36
19:07.0,199.77,200,32.36
19:07.0,199.77,200,35.43
19:07.1,199.77,200,35.11
19:07.1,199.77,200,34.06
19:07.1,199.79,200,34.06
19:07.1,199.77,200,35.16
19:07.1,199.77,200,31.77
19:07.2,199.78,200,34.06
19:07.2,199.78,200,34.88
19:07.2,199.79,200,32.78
19:07.2,199.79,200,32.78
19:07.3,199.79,200,31.27
19:07.3,199.8,200,31.72
19:07.3,199.8,200,31.45
19:07.3,199.8,200,30.62
19:07.4,199.78,200,30.62
19:07.4,199.79,200,29.39
19:07.4,199.79,200,33.28
19:07.4,199.78,200,31.95
19:07.4,199.79,200,31.95
19:07.5,199.8,200,33.14
19:07.5,199.8,200,32
19:07.5,199.79,200,29.71
19:07.5,199.78,200,29.71
19:07.6,199.79,200,32
19:07.6,199.79,200,32.27
19:07.6,199.79,200,31.49
19:07.6,199.78,200,31.81
19:07.7,199.78,200,31.81
19:07.7,199.79,200,32.87
19:07.7,199.79,200,32.87
19:07.7,199.78,200,32.23
19:07.8,199.78,200,31.81
19:07.8,199.79,200,33
19:07.8,199.77,200,33
19:07.8,199.79,200,31.81
19:07.9,199.79,200,34.01
19:07.9,199.79,200,32.23
19:07.9,199.79,200,30.81
19:07.9,199.79,200,30.81
19:07.9,199.8,200,31.08
19:08.0,199.79,200,31.68
19:08.0,199.79,200,30.62
19:08.0,199.79,200,31.63
19:08.0,199.79,200,31.63
19:08.1,199.78,200,31.54
19:08.1,199.78,200,30.76
19:08.1,199.78,200,32.55
19:08.1,199.78,200,32.55
19:08.2,199.78,200,33.28
19:08.2,199.77,200,33.28
19:08.2,199.79,200,33.51
19:08.2,199.8,200,33.97
19:08.3,199.79,200,32.09
19:08.3,199.79,200,29.75
19:08.3,199.79,200,31.17
19:08.3,199.79,200,30.9
19:08.3,199.8,200,30.85
19:08.4,199.81,200,30.85
19:08.4,199.81,200,30.03
19:08.4,199.81,200,29.16
19:08.4,199.8,200,28.79
19:08.4,199.81,200,28.79
19:08.5,199.79,200,29.48
19:08.5,199.79,200,29.02
19:08.5,199.8,200,31.04
19:08.6,199.79,200,31.17
19:08.6,199.79,200,30.35
19:08.6,199.78,200,31.17
19:08.6,199.8,200,31.68
19:08.6,199.8,200,32.82
19:08.7,199.81,200,29.62
19:08.7,199.8,200,29.62
19:08.7,199.78,200,28.06
19:08.7,199.8,200,29.53
19:08.7,199.8,200,32.27
19:08.8,199.8,200,30.62
19:08.8,199.81,200,30.53
19:08.8,199.81,200,30.53
19:08.9,199.8,200,29.11
19:08.9,199.81,200,28.98
19:08.9,199.81,200,29.94
19:08.9,199.8,200,27.83
19:08.9,199.81,200,28.11
19:09.0,199.81,200,29.8
19:09.0,199.79,200,28.79
19:09.0,199.79,200,28.79
19:09.0,199.79,200,31.86
19:09.0,199.79,200,31.86
19:09.1,199.81,200,30.9
19:09.1,199.8,200,31.17
19:09.1,199.8,200,28.84
19:09.1,199.79,200,30.72
19:09.2,199.79,200,30.4
19:09.2,199.78,200,30.81
19:09.2,199.79,200,30.81
19:09.3,199.78,200,33.74
19:09.3,199.77,200,30.85
19:09.3,199.78,200,33.6
19:09.3,199.79,200,34.29
19:09.4,199.79,200,32.91
19:09.4,199.79,200,32.04
19:09.4,199.79,200,32.04
19:09.4,199.79,200,32
19:09.4,199.79,200,31.77
19:09.5,199.79,200,32.23
19:09.5,199.79,200,31.68
19:09.5,199.78,200,31.68
19:09.5,199.79,200,31.68
19:09.6,199.78,200,33.51
19:09.6,199.78,200,31.81
19:09.6,199.78,200,33.55
19:09.6,199.78,200,33.55
19:09.7,199.78,200,32.55
19:09.7,199.78,200,33.19
19:09.7,199.8,200,33.19
19:09.7,199.8,200,32.68
19:09.8,199.79,200,30.03
19:09.8,199.79,200,30.03
19:09.8,199.79,200,31.95
19:09.8,199.8,200,30.81
19:09.9,199.79,200,32.18
19:09.9,199.8,200,29.85
19:09.9,199.8,200,30.9
19:09.9,199.81,200,29.8
19:10.0,199.81,200,29.8
19:10.0,199.81,200,28.93
19:10.0,199.81,200,27.97
19:10.0,199.82,200,27.97
19:10.0,199.81,200,28.38
19:10.1,199.81,200,27.51
19:10.1,199.81,200,28.61
19:10.1,199.79,200,28.61
19:10.1,199.79,200,28.47
19:10.2,199.8,200,31.04
19:10.2,199.8,200,30.94
19:10.2,199.81,200,30.03
19:10.2,199.8,200,30.03
19:10.2,199.82,200,28.24
19:10.3,199.82,200,29.48
19:10.3,199.8,200,27.65
19:10.3,199.81,200,27.65
19:10.3,199.81,200,30.62
19:10.4,199.81,200,27.83
19:10.4,199.8,200,28.2
19:10.4,199.79,200,28.2
19:10.5,199.8,200,29.39
19:10.5,199.81,200,31.49
19:10.5,199.79,200,29.62
19:10.5,199.78,200,28.98
19:10.5,199.78,200,31.27
19:10.6,199.79,200,32.46
19:10.6,199.79,200,32.46
19:10.6,199.78,200,31.45
19:10.6,199.78,200,30.76
19:10.6,199.8,200,32.32
19:10.7,199.8,200,32.32
19:10.7,199.78,200,30.72
19:10.7,199.78,200,30.49
19:10.7,199.77,200,32.27
19:10.8,199.78,200,32.96
19:10.8,199.81,200,34.1
19:10.8,199.8,200,32.41
19:10.8,199.8,200,28.98
19:10.9,199.8,200,30.08
19:10.9,199.79,200,30.08
19:10.9,199.79,200,30.3
19:10.9,199.78,200,31.08
19:11.0,199.8,200,30.94
19:11.0,199.8,200,32.46
19:11.0,199.79,200,30.62
19:11.0,199.79,200,30.62
19:11.1,199.79,200,31.4
19:11.1,199.78,200,31.72
19:11.1,199.78,200,31.72
19:11.1,199.78,200,32.5
19:11.2,199.79,200,32.41
19:11.2,199.78,200,32.41
19:11.2,199.78,200,32.23
19:11.2,199.77,200,32.68
19:11.2,199.77,200,33.55
19:11.3,199.8,200,34.1
19:11.3,199.79,200,34.1
19:11.3,199.79,200,30.35
19:11.4,199.79,200,31.49
19:11.4,199.78,200,31.49
19:11.4,199.78,200,31.36
19:11.4,199.78,200,33.1
19:11.5,199.78,200,32.41
19:11.5,199.78,200,32.41
19:11.5,199.79,200,32.27
19:11.5,199.79,200,33.33
19:11.6,199.8,200,32.04
19:11.6,199.79,200,31.77
19:11.6,199.79,200,30.17
19:11.6,199.78,200,31.95
19:11.6,199.78,200,31.95
19:11.7,199.8,200,32.59
19:11.7,199.78,200,32.59
19:11.7,199.78,200,30.53
19:11.7,199.79,200,32.87
19:11.8,199.79,200,32.87
19:11.8,199.8,200,31.27
19:11.8,199.8,200,31.63
19:11.8,199.79,200,30.62
19:11.9,199.78,200,30.62
19:11.9,199.79,200,31.59
19:11.9,199.79,200,32.32
19:11.9,199.78,200,30.9
19:11.9,199.78,200,32.14
19:12.0,199.79,200,32.55
19:12.0,199.79,200,32.55
19:12.0,199.78,200,32.09
19:12.0,199.78,200,32.09
19:12.0,199.78,200,32.55
19:12.1,199.78,200,33
19:12.1,199.77,200,33.65
19:12.1,199.77,200,33.33
19:12.1,199.76,200,35.02
19:12.2,199.76,200,35.02
19:12.2,199.77,200,35.75
19:12.2,199.78,200,36.16
19:12.2,199.78,200,35.16
19:12.3,199.79,200,33.28
19:12.3,199.79,200,32.64
19:12.3,199.79,200,31.63
19:12.3,199.79,200,31.63
19:12.4,199.8,200,30.99
19:12.4,199.79,200,31.31
19:12.4,199.78,200,30.03
19:12.4,199.78,200,31.68
19:12.4,199.79,200,32.55
19:12.5,199.79,200,32.55
19:12.5,199.79,200,31.13
19:12.5,199.79,200,32.18
19:12.5,199.79,200,31.86
19:12.6,199.79,200,30.9
19:12.6,199.78,200,31.54
19:12.6,199.78,200,31.54
19:12.7,199.78,200,32.64
19:12.7,199.78,200,33.6
19:12.7,199.78,200,32.73
19:12.7,199.78,200,32.64
19:12.8,199.77,200,32.64
19:12.8,199.77,200,33.37
19:12.8,199.77,200,33.83
19:12.9,199.77,200,34.01
19:12.9,199.78,200,33.78
19:12.9,199.78,200,33.78
19:12.9,199.79,200,33.23
19:12.9,199.79,200,33.23
19:13.0,199.79,200,31.68
19:13.0,199.79,200,32
19:13.0,199.79,200,31.59
19:13.0,199.8,200,31.59
19:13.1,199.8,200,31.22
19:13.1,199.79,200,30.35
19:13.1,199.8,200,30.35
19:13.1,199.79,200,30.99
19:13.1,199.79,200,30.72
19:13.2,199.8,200,30.81
19:13.2,199.79,200,30.81
19:13.2,199.79,200,30.49
19:13.2,199.8,200,31.36
19:13.3,199.8,200,31.36
19:13.3,199.8,200,30.08
19:13.3,199.8,200,30.3
19:13.3,199.8,200,30.12
19:13.4,199.79,200,29.94
19:13.4,199.79,200,29.94
19:13.4,199.79,200,31.54
19:13.4,199.79,200,31.54
19:13.5,199.79,200,31.95
19:13.5,199.79,200,32
19:13.5,199.78,200,32
19:13.5,199.78,200,32
19:13.5,199.76,200,32.55
19:13.6,199.77,200,32.55
19:13.6,199.79,200,35.66
19:13.6,199.79,200,34.38
19:13.6,199.79,200,32.18
19:13.7,199.78,200,32.18
19:13.7,199.78,200,31.31
19:13.7,199.79,200,32.91
19:13.7,199.8,200,32.91
19:13.7,199.8,200,31.31
19:13.8,199.79,200,30.53
19:13.8,199.79,200,30.53
19:13.8,199.79,200,30.94
19:13.8,199.78,200,30.85
19:13.9,199.79,200,30.9
19:13.9,199.78,200,32.59
19:13.9,199.79,200,31.91
19:13.9,199.79,200,33
19:14.0,199.78,200,31.17
19:14.0,199.79,200,32.09
19:14.0,199.79,200,32.96
19:14.1,199.79,200,31.72
19:14.1,199.78,200,30.9
19:14.1,199.78,200,31.95
19:14.1,199.79,200,32.36
19:14.1,199.79,200,32.36
19:14.2,199.78,200,31.17
19:14.2,199.79,200,31.17
19:14.2,199.8,200,32.73
19:14.2,199.81,200,32
19:14.3,199.81,200,29.62
19:14.3,199.81,200,28.11
19:14.3,199.81,200,28.11
19:14.3,199.8,200,28.7
19:14.3,199.8,200,28.88
19:14.4,199.8,200,29.89
19:14.4,199.8,200,29.57
19:14.4,199.81,200,29.8
19:14.4,199.81,200,29.8
19:14.5,199.81,200,28.98
19:14.5,199.79,200,29.02
19:14.5,199.78,200,29.02
19:14.5,199.8,200,30.76
19:14.6,199.81,200,32.41
19:14.6,199.81,200,30.58
19:14.6,199.8,200,28.15
19:14.6,199.8,200,28.15
19:14.6,199.8,200,30.03
19:14.7,199.79,200,29.66
19:14.7,199.79,200,30.4
19:14.7,199.78,200,31.17
19:14.7,199.8,200,31.54
19:14.8,199.8,200,33.6
19:14.8,199.8,200,30.72
19:14.8,199.79,200,30.72
19:14.8,199.8,200,30.21
19:14.8,199.81,200,31.04
19:14.9,199.8,200,30.21
19:14.9,199.8,200,28.66
19:14.9,199.8,200,30.44
19:14.9,199.8,200,30.26
19:15.0,199.79,200,30.26
19:15.0,199.8,200,30.21
19:15.0,199.79,200,31.86
19:15.0,199.8,200,29.39
19:15.1,199.82,200,31.13
19:15.1,199.8,200,29.75
19:15.1,199.81,200,26.96
19:15.1,199.81,200,29.75
19:15.2,199.8,200,28.34
19:15.2,199.82,200,28.24
19:15.2,199.81,200,29.66
19:15.2,201.57,200,27.6
19:15.3,201.94,200,28.61
19:15.3,201.83,200,1
19:15.3,201.83,200,1
19:15.3,200.53,200,1
19:15.3,198.26,200,1
19:15.4,198.26,200,1
19:15.4,196.77,200,261.75
19:15.4,195.74,200,261.75
19:15.4,194.64,200,483.9
19:15.4,194.64,200,638.85
19:15.5,193.57,200,804.29
19:15.5,192.4,200,804.29
19:15.5,191.19,200,964.51
19:15.5,190.46,200,1000
19:15.6,190.46,200,1000
19:15.6,189.53,200,1000
19:15.6,188.73,200,1000
19:15.6,188.18,200,1000
19:15.6,187.72,200,1000
19:15.7,187.72,200,1000
19:15.7,187.17,200,1000
19:15.7,186.72,200,1000
19:15.7,186.72,200,1000
19:15.8,186.16,200,1000
19:15.8,185.72,200,1000
19:15.8,185.43,200,1000
19:15.8,185.08,200,1000
19:15.9,184.72,200,1000
19:15.9,184.72,200,1000
19:15.9,184.25,200,1000
19:15.9,183.97,200,1000
19:16.0,183.54,200,1000
19:16.0,182.98,200,1000
19:16.1,182.55,200,1000
19:16.1,182.55,200,1000
19:16.1,182.55,200,1000
19:16.1,182.13,200,1000
19:16.1,181.87,200,1000
19:16.2,181.57,200,1000
19:16.2,181.2,200,1000
19:16.2,181.2,200,1000
19:16.2,180.65,200,1000
19:16.3,180.4,200,1000
19:16.3,180.4,200,1000
19:16.3,180.19,200,1000
19:16.3,179.9,200,1000
19:16.3,179.9,200,1000
19:16.4,179.62,200,1000
19:16.4,179.4,200,1000
19:16.4,179.19,200,1000
19:16.4,178.99,200,1000
19:16.4,178.75,200,1000
19:16.5,178.75,200,1000
19:16.5,178.38,200,1000
19:16.5,178.22,200,1000
19:16.5,178.01,200,1000
19:16.6,178.01,200,1000
19:16.6,177.85,200,1000
19:16.6,177.65,200,1000
19:16.6,177.45,200,1000
19:16.6,177.45,200,1000
19:16.7,177.23,200,1000
19:16.7,177.01,200,1000
19:16.7,176.83,200,1000
19:16.7,176.65,200,1000
19:16.7,176.46,200,1000
19:16.8,176.46,200,1000
19:16.8,176.29,200,1000
19:16.8,176.06,200,1000
19:16.8,175.91,200,1000
19:16.8,175.91,200,1000
19:16.9,175.68,200,1000
19:16.9,175.53,200,1000
19:16.9,175.35,200,1000
19:16.9,175.2,200,1000
19:16.9,175.2,200,1000
19:17.0,175.04,200,1000
19:17.0,174.88,200,1000
19:17.0,174.72,200,1000
19:17.0,174.58,200,1000
19:17.0,174.42,200,1000
19:17.1,174.25,200,1000
19:17.1,174.25,200,1000
19:17.1,173.99,200,1000
19:17.1,173.87,200,1000
19:17.1,173.71,200,1000
19:17.2,173.71,200,1000
19:17.2,173.55,200,1000
19:17.2,173.41,200,1000
19:17.2,173.27,200,1000
19:17.3,173.1,200,1000
19:17.3,172.97,200,1000
19:17.3,172.97,200,1000
19:17.3,172.81,200,1000
19:17.3,172.68,200,1000
19:17.4,172.53,200,1000
19:17.4,172.4,200,1000
19:17.4,172.25,200,1000
19:17.4,172.13,200,1000
19:17.4,171.99,200,1000
19:17.5,171.99,200,1000
19:17.5,171.83,200,1000
19:17.5,171.71,200,1000
19:17.5,171.58,200,1000
19:17.5,171.46,200,1000
19:17.6,171.31,200,1000
19:17.6,171.31,200,1000
19:17.6,171.16,200,1000
19:17.6,171.03,200,1000
19:17.6,171.03,200,1000
19:17.7,170.86,200,1000
19:17.7,170.72,200,1000
19:17.7,170.63,200,1000
19:17.7,170.47,200,1000
19:17.8,170.35,200,1000
19:17.8,170.35,200,1000
19:17.8,170.24,200,1000
19:17.8,170.13,200,1000
19:17.8,170,200,1000
19:17.9,169.88,200,1000
19:17.9,169.88,200,1000
19:17.9,169.73,200,1000
19:17.9,169.64,200,1000
19:17.9,169.51,200,1000
19:18.0,169.44,200,1000
19:18.0,169.44,200,1000
19:18.0,169.23,200,1000
19:18.0,169.14,200,1000
19:18.0,169.04,200,1000
19:18.1,168.93,200,1000
19:18.1,168.93,200,1000
19:18.1,168.82,200,1000
19:18.1,168.7,200,1000
19:18.1,168.62,200,1000
19:18.2,168.51,200,1000
19:18.2,168.44,200,1000
19:18.2,168.37,200,1000
19:18.2,168.27,200,1000
19:18.3,168.27,200,1000
19:18.3,168.14,200,1000
19:18.3,168.06,200,1000
19:18.3,167.97,200,1000
19:18.3,167.88,200,1000
19:18.4,167.79,200,1000
19:18.4,167.7,200,1000
19:18.4,167.7,200,1000
19:18.4,167.6,200,1000
19:18.4,167.48,200,1000
19:18.5,167.41,200,1000
19:18.5,167.41,200,1000
19:18.5,167.3,200,1000
19:18.5,167.23,200,1000
19:18.5,167.15,200,1000
19:18.6,167.04,200,1000
19:18.6,167.04,200,1000
19:18.6,166.98,200,1000
19:18.6,166.87,200,1000
19:18.6,166.8,200,1000
19:18.7,166.73,200,1000
19:18.7,166.63,200,1000
19:18.7,166.57,200,1000
19:18.7,166.57,200,1000
19:18.8,166.47,200,1000
19:18.8,166.41,200,1000
19:18.8,166.33,200,1000
19:18.8,166.26,200,1000
19:18.8,166.18,200,1000
19:18.9,166.11,200,1000
19:18.9,166.11,200,1000
19:18.9,166.01,200,1000
19:18.9,165.93,200,1000
19:18.9,165.84,200,1000
19:19.0,165.84,200,1000
19:19.0,165.76,200,1000
19:19.0,165.65,200,1000
19:19.0,165.57,200,1000
19:19.0,165.48,200,1000
19:19.1,165.48,200,1000
19:19.1,165.41,200,1000
19:19.1,165.33,200,1000
19:19.1,165.26,200,1000
19:19.1,165.18,200,1000
19:19.2,165.11,200,1000
19:19.2,165.11,200,1000
19:19.2,165,200,1000
19:19.2,164.94,200,1000
19:19.2,164.87,200,1000
19:19.3,164.87,200,1000
19:19.3,164.82,200,1000
19:19.3,164.71,200,1000
19:19.3,164.71,200,1000
19:19.3,164.63,200,1000
19:19.4,164.58,200,1000
19:19.4,164.5,200,1000
19:19.4,164.4,200,1000
19:19.4,164.35,200,1000
19:19.4,164.31,200,1000
19:19.5,164.31,200,1000
19:19.5,164.21,200,1000
19:19.5,164.14,200,1000
19:19.5,164.09,200,1000
19:19.6,164.01,200,1000
19:19.6,164.01,200,1000
19:19.6,163.96,200,1000
19:19.6,163.87,200,1000
19:19.6,163.83,200,1000
19:19.7,163.83,200,1000
19:19.7,163.78,200,1000
19:19.7,163.7,200,1000
19:19.7,163.66,200,1000
19:19.7,163.59,200,1000
19:19.8,163.53,200,1000
19:19.8,163.53,200,1000
19:19.8,163.44,200,1000
19:19.8,163.38,200,1000
19:19.8,163.32,200,1000
19:19.9,163.29,200,1000
19:19.9,163.29,200,1000
19:19.9,163.2,200,1000
19:19.9,163.15,200,1000
19:19.9,163.1,200,1000
19:20.0,163.06,200,1000
19:20.0,163.06,200,1000
19:20.0,162.96,200,1000
19:20.0,162.88,200,1000
19:20.0,162.83,200,1000
19:20.1,162.78,200,1000
19:20.1,162.72,200,1000
19:20.1,162.72,200,1000
19:20.1,162.67,200,1000
19:20.1,162.61,200,1000
19:20.2,162.53,200,1000
19:20.2,162.49,200,1000
19:20.2,162.49,200,1000
19:20.2,162.43,200,1000
19:20.2,162.39,200,1000
19:20.3,162.33,200,1000
19:20.3,162.26,200,1000
19:20.3,162.21,200,1000
19:20.3,162.15,200,1000
19:20.3,162.15,200,1000
19:20.4,162.08,200,1000
19:20.4,162.08,200,1000
19:20.4,161.98,200,1000
19:20.4,161.92,200,1000
19:20.4,161.85,200,1000
19:20.5,161.78,200,1000
19:20.5,161.75,200,1000
19:20.5,161.75,200,1000
19:20.5,161.67,200,1000
19:20.5,161.62,200,1000
19:20.6,161.57,200,1000
19:20.6,161.57,200,1000
19:20.6,161.5,200,1000
19:20.6,161.46,200,1000
19:20.6,161.37,200,1000
19:20.7,161.37,200,1000
19:20.7,161.32,200,1000
19:20.7,161.24,200,1000
19:20.7,161.17,200,1000
19:20.8,161.14,200,1000
19:20.8,161.09,200,1000
19:20.8,161.09,200,1000
19:20.8,161.05,200,1000
19:20.8,161,200,1000
19:20.9,160.93,200,1000
19:20.9,160.88,200,1000
19:20.9,160.84,200,1000
19:20.9,160.79,200,1000
19:20.9,160.79,200,1000
19:21.0,160.74,200,1000
19:21.0,160.69,200,1000
19:21.0,160.63,200,1000
19:21.0,160.6,200,1000
19:21.0,160.56,200,1000
19:21.1,160.49,200,1000
19:21.1,160.49,200,1000
19:21.1,160.43,200,1000
19:21.1,160.38,200,1000
19:21.1,160.32,200,1000
19:21.2,160.32,200,1000
19:21.2,160.28,200,1000
19:21.2,160.22,200,1000
19:21.2,160.17,200,1000
19:21.2,160.15,200,1000
19:21.3,160.1,200,1000
19:21.3,160.1,200,1000
19:21.3,160.03,200,1000
19:21.3,160,200,1000
19:21.3,159.96,200,1000
19:21.4,159.96,200,1000
19:21.4,159.92,200,1000
19:21.4,159.83,200,1000
19:21.4,159.82,200,1000
19:21.5,159.76,200,1000
19:21.5,159.72,200,1000
19:21.5,159.72,200,1000
19:21.5,159.68,200,1000
19:21.5,159.64,200,1000
19:21.6,159.58,200,1000
19:21.6,159.53,200,1000
19:21.6,159.52,200,1000
19:21.6,159.45,200,1000
19:21.6,159.41,200,1000
19:21.7,159.41,200,1000
19:21.7,159.38,200,1000
19:21.7,159.32,200,1000
19:21.7,159.3,200,1000
19:21.7,159.26,200,1000
19:21.8,159.21,200,1000
19:21.8,159.18,200,1000
19:21.8,159.14,200,1000
19:21.8,159.14,200,1000
19:21.8,159.1,200,1000
19:21.9,159.07,200,1000
19:21.9,159,200,1000
19:21.9,158.96,200,1000
19:21.9,158.96,200,1000
19:22.0,158.93,200,1000
19:22.0,158.9,200,1000
19:22.0,158.85,200,1000
19:22.0,158.79,200,1000
19:22.0,158.75,200,1000
19:22.1,158.72,200,1000
19:22.1,158.72,200,1000
19:22.1,158.66,200,1000
19:22.1,158.62,200,1000
19:22.1,158.56,200,1000
19:22.2,158.53,200,1000
19:22.2,158.53,200,1000
19:22.2,158.48,200,1000
19:22.2,158.45,200,1000
19:22.2,158.4,200,1000
19:22.3,158.4,200,1000
19:22.3,158.37,200,1000
19:22.3,158.32,200,1000
19:22.3,158.3,200,1000
19:22.3,158.25,200,1000
19:22.4,158.25,200,1000
19:22.4,158.22,200,1000
19:22.4,158.19,200,1000
19:22.4,158.15,200,1000
19:22.4,158.11,200,1000
19:22.5,158.09,200,1000
19:22.5,158.08,200,1000
19:22.5,158.03,200,1000
19:22.5,158.03,200,1000
19:22.5,158,200,1000
19:22.6,157.98,200,1000
19:22.6,157.92,200,1000
19:22.6,157.92,200,1000
19:22.6,157.9,200,1000
19:22.7,157.85,200,1000
19:22.7,157.81,200,1000
19:22.7,157.79,200,1000
19:22.7,157.79,200,1000
19:22.7,157.76,200,1000
19:22.8,157.71,200,1000
19:22.8,157.69,200,1000
19:22.8,157.66,200,1000
19:22.8,157.66,200,1000
19:22.8,157.61,200,1000
19:22.9,157.57,200,1000
19:22.9,157.53,200,1000
19:22.9,157.51,200,1000
19:22.9,157.48,200,1000
19:22.9,157.41,200,1000
19:23.0,157.41,200,1000
19:23.0,157.4,200,1000
19:23.0,157.35,200,1000
19:23.0,157.34,200,1000
19:23.0,157.29,200,1000
19:23.1,157.29,200,1000
19:23.1,157.22,200,1000
19:23.1,157.19,200,1000
19:23.1,157.17,200,1000
19:23.1,157.13,200,1000
19:23.2,157.13,200,1000
19:23.2,157.09,200,1000
19:23.2,157.07,200,1000
19:23.2,157.03,200,1000
19:23.2,157.01,200,1000
19:23.3,156.96,200,1000
19:23.3,156.95,200,1000
19:23.3,156.92,200,1000
19:23.3,156.92,200,1000
19:23.3,156.88,200,1000
19:23.4,156.85,200,1000
19:23.4,156.8,200,1000
19:23.4,156.78,200,1000
19:23.4,156.78,200,1000
19:23.5,156.75,200,1000
19:23.5,156.71,200,1000
19:23.5,156.68,200,1000
19:23.5,156.64,200,1000
19:23.5,156.64,200,1000
19:23.6,156.59,200,1000
19:23.6,156.56,200,1000
19:23.6,156.52,200,1000
19:23.6,156.51,200,1000
19:23.6,156.47,200,1000
19:23.7,156.45,200,1000
19:23.7,156.45,200,1000
19:23.7,156.4,200,1000
19:23.7,156.4,200,1000
19:23.7,156.34,200,1000
19:23.8,156.3,200,1000
19:23.8,156.29,200,1000
19:23.8,156.25,200,1000
19:23.8,156.22,200,1000
19:23.8,156.18,200,1000
19:23.9,156.16,200,1000
19:23.9,156.16,200,1000
19:23.9,156.13,200,1000
19:23.9,156.09,200,1000
19:23.9,156.06,200,1000
19:24.0,156.03,200,1000
19:24.0,156.03,200,1000
19:24.0,156,200,1000
19:24.0,155.97,200,1000
19:24.0,155.94,200,1000
19:24.1,155.88,200,1000
19:24.1,155.88,200,1000
19:24.1,155.84,200,1000
19:24.1,155.81,200,1000
19:24.1,155.79,200,1000
19:24.2,155.75,200,1000
19:24.2,155.73,200,1000
19:24.2,155.7,200,1000
19:24.2,155.68,200,1000
19:24.3,155.68,200,1000
19:24.3,155.65,200,1000
19:24.3,155.61,200,1000
19:24.3,155.58,200,1000
19:24.3,155.54,200,1000
19:24.4,155.51,200,1000
19:24.4,155.51,200,1000
19:24.4,155.46,200,1000
19:24.4,155.42,200,1000
19:24.4,155.4,200,1000
19:24.5,155.36,200,1000
19:24.5,155.36,200,1000
19:24.5,155.3,200,1000
19:24.5,155.28,200,1000
19:24.5,155.24,200,1000
19:24.6,155.24,200,1000
19:24.6,155.22,200,1000
19:24.6,155.18,200,1000
19:24.6,155.15,200,1000
19:24.6,155.12,200,1000
19:24.7,155.1,200,1000
19:24.7,155.1,200,1000
19:24.7,155.05,200,1000
19:24.7,155,200,1000
19:24.7,154.98,200,1000
19:24.8,154.98,200,1000
19:24.8,154.95,200,1000
19:24.8,154.92,200,1000
19:24.8,154.91,200,1000
19:24.8,154.87,200,1000
19:24.9,154.87,200,1000
19:24.9,154.85,200,1000
19:24.9,154.82,200,1000
19:24.9,154.78,200,1000
19:24.9,154.77,200,1000
19:25.0,154.73,200,1000
19:25.0,154.73,200,1000
19:25.0,154.71,200,1000
19:25.0,154.67,200,1000
19:25.0,154.64,200,1000
19:25.1,154.62,200,1000
19:25.1,154.62,200,1000
19:25.1,154.58,200,1000
19:25.1,154.53,200,1000
19:25.1,154.49,200,1000
19:25.2,154.47,200,1000
19:25.2,154.47,200,1000
19:25.2,154.44,200,1000
19:25.2,154.4,200,1000
19:25.2,154.37,200,1000
19:25.3,154.35,200,1000
19:25.3,154.34,200,1000
19:25.3,154.34,200,1000
19:25.3,154.3,200,1000
19:25.3,154.27,200,1000
19:25.4,154.26,200,1000
19:25.4,154.23,200,1000
19:25.4,154.23,200,1000
19:25.4,154.21,200,1000
19:25.4,154.18,200,1000
19:25.5,154.16,200,1000
19:25.5,154.13,200,1000
19:25.5,154.11,200,1000
19:25.5,154.11,200,1000
19:25.6,154.08,200,1000
19:25.6,154.06,200,1000
19:25.6,154.05,200,1000
19:25.6,154.04,200,1000
19:25.6,154.02,200,1000
19:25.7,153.99,200,1000
19:25.7,153.99,200,1000
19:25.7,153.99,200,1000
19:25.7,153.96,200,1000
19:25.7,153.95,200,1000
19:25.8,153.94,200,1000
19:25.8,153.94,200,1000
19:25.8,153.9,200,1000
19:25.8,153.87,200,1000
19:25.8,153.86,200,1000
19:25.9,153.86,200,1000
19:25.9,153.83,200,1000
19:25.9,153.81,200,1000
19:25.9,153.75,200,1000
19:26.0,153.74,200,1000
19:26.0,153.7,200,1000
19:26.0,153.67,200,1000
19:26.0,153.63,200,1000
19:26.0,153.61,200,1000
19:26.1,153.57,200,1000
19:26.1,153.57,200,1000
19:26.1,153.53,200,1000
19:26.1,153.49,200,1000
19:26.1,153.48,200,1000
19:26.2,153.42,200,1000
19:26.2,153.41,200,1000
19:26.2,153.41,200,1000
19:26.2,153.37,200,1000
19:26.2,153.33,200,1000
19:26.3,153.31,200,1000
19:26.3,153.29,200,1000
19:26.3,153.29,200,1000
19:26.3,153.26,200,1000
19:26.3,153.25,200,1000
19:26.4,153.22,200,1000
